x,y,z
-0.031,0.010,0.998
-0.031,0.011,0.999
-0.030,0.010,1.000
-0.031,0.010,1.000
-0.031,0.010,1.000
-0.031,0.011,1.000
-0.031,0.010,1.000
-0.031,0.009,1.000
-0.031,0.010,1.000
-0.031,0.011,0.998
-0.031,0.011,1.000
-0.032,0.009,1.000
-0.030,0.009,0.999
-0.030,0.010,0.999
-0.031,0.010,1.000
-0.031,0.010,1.000
-0.032,0.011,1.000
-0.031,0.009,1.000
-0.032,0.009,1.000
-0.028,0.011,0.999
-0.032,0.011,1.000
-0.034,0.010,1.000
-0.035,0.010,1.001
-0.035,0.006,1.005
-0.028,0.006,1.008
-0.038,-0.015,1.060
-0.034,0.008,1.018
-0.031,0.013,1.029
-0.036,0.026,1.031
-0.030,0.043,1.011
-0.036,0.073,1.005
-0.025,0.072,1.025
-0.036,0.115,0.966
-0.033,0.114,0.985
-0.037,0.126,0.997
-0.044,0.147,1.020
-0.050,0.164,1.012
-0.041,0.168,1.000
-0.025,0.201,1.006
-0.020,0.247,0.963
-0.016,0.289,0.939
-0.013,0.330,0.929
-0.002,0.346,0.928
-0.016,0.381,0.888
-0.014,0.382,0.890
-0.029,0.427,0.909
-0.021,0.440,0.885
-0.004,0.499,0.827
-0.002,0.531,0.800
-0.014,0.502,0.890
-0.018,0.492,0.910
-0.010,0.532,0.858
0.003,0.580,0.791
-0.001,0.585,0.800
0.003,0.636,0.742
0.006,0.637,0.741
0.001,0.670,0.707
0.006,0.692,0.689
0.004,0.714,0.679
-0.009,0.697,0.708
-0.004,0.748,0.630
0.001,0.767,0.611
0.006,0.760,0.624
0.009,0.730,0.666
0.001,0.750,0.669
0.000,0.761,0.644
0.002,0.751,0.661
0.013,0.746,0.659
0.018,0.765,0.629
0.015,0.786,0.599
0.022,0.774,0.615
0.019,0.770,0.622
0.016,0.757,0.647
0.010,0.794,0.596
0.001,0.840,0.538
0.008,0.809,0.574
0.001,0.810,0.584
0.005,0.847,0.517
0.009,0.857,0.500
0.012,0.859,0.500
0.004,0.855,0.518
0.016,0.842,0.518
-0.028,0.765,0.644
-0.061,0.790,0.824
-0.030,0.673,0.502
0.036,0.945,0.101
0.020,0.945,0.084
0.032,1.015,0.058
0.068,1.078,-0.005
0.105,0.931,0.146
-0.103,0.754,0.867
-0.073,0.802,0.711
0.035,1.006,0.165
0.023,1.002,0.233
0.034,0.885,0.342
0.032,0.918,0.345
0.035,0.952,0.265
0.028,0.927,0.330
0.028,0.919,0.358
0.023,0.974,0.342
0.027,0.940,0.302
0.026,0.970,0.209
0.041,0.987,0.149
0.045,1.015,0.107
0.009,0.988,0.207
0.017,0.960,0.245
0.017,0.952,0.261
0.012,0.973,0.207
0.050,1.082,-0.075
0.013,0.849,0.237
0.011,0.942,0.249
0.020,0.968,0.211
0.022,0.990,0.159
0.018,0.974,0.170
-0.020,0.991,0.153
0.027,0.990,0.153
0.010,0.988,0.162
0.021,0.977,0.139
0.025,0.989,0.104
0.026,0.987,0.102
0.010,0.990,0.130
-0.003,0.990,0.143
0.006,0.994,0.112
0.016,0.986,0.109
0.021,0.986,0.091
0.023,0.987,0.094
0.014,1.000,0.082
0.011,1.000,0.060
0.030,0.999,0.027
0.030,1.004,0.042
0.018,0.988,0.093
0.010,1.001,0.048
-0.001,1.001,0.085
0.025,0.956,0.148
0.008,1.026,0.044
0.041,0.975,0.027
0.037,0.988,0.004
0.033,0.993,0.013
0.011,1.001,0.029
0.007,1.002,0.022
0.009,0.999,0.043
0.016,0.996,0.028
0.009,1.003,0.030
0.003,1.001,0.039
0.002,1.005,0.043
0.012,1.000,0.016
0.022,0.997,0.006
0.032,0.990,-0.004
0.017,0.986,0.045
0.010,0.988,0.066
0.012,0.994,0.041
0.015,0.995,0.010
0.010,1.006,-0.010
0.009,0.993,0.025
0.043,0.972,0.063
0.010,0.962,0.237
0.021,0.966,-0.073
0.023,0.998,0.008
0.012,0.987,-0.023
0.005,1.022,-0.021
0.020,0.984,0.042
0.012,1.001,0.024
0.021,1.002,-0.053
0.021,0.988,-0.057
0.029,0.986,0.015
0.016,0.982,0.082
0.023,0.980,0.026
0.003,0.967,0.124
-0.009,0.996,0.054
0.015,0.997,0.008
0.013,1.001,-0.010
0.002,0.998,0.021
0.009,1.001,0.013
0.023,1.000,-0.021
0.031,0.997,-0.052
0.016,1.004,-0.032
0.008,1.004,-0.034
0.017,0.991,0.027
0.013,1.002,-0.042
0.027,0.994,-0.013
0.050,0.999,0.067
0.033,0.993,0.103
0.033,0.997,0.005
-0.036,0.987,-0.016
0.033,1.002,-0.042
0.003,0.994,-0.011
0.023,0.987,0.103
-0.021,0.996,0.018
-0.005,0.996,-0.007
0.028,1.004,-0.099
0.031,0.996,-0.059
0.016,0.991,-0.003
0.027,1.001,-0.015
0.008,0.997,-0.047
-0.010,1.000,-0.058
0.000,0.991,-0.001
0.030,1.007,-0.043
0.028,0.998,-0.053
0.005,0.994,0.024
0.001,0.989,0.052
0.017,0.999,-0.018
0.026,0.995,-0.036
0.011,0.997,-0.000
0.011,0.996,0.011
0.014,0.996,-0.019
0.023,0.989,-0.025
0.015,0.996,-0.004
0.015,0.996,-0.006
0.022,0.989,-0.003
0.049,0.983,-0.106
0.010,0.992,-0.026
0.011,0.996,-0.011
0.015,0.991,0.042
0.012,0.996,0.014
0.027,0.995,-0.065
0.017,0.999,-0.033
0.016,0.990,0.003
0.017,0.991,0.003
0.019,0.998,-0.053
0.015,0.997,-0.070
0.017,0.995,-0.042
0.018,0.995,-0.025
0.016,0.996,-0.052
0.023,0.993,-0.087
0.020,0.994,-0.049
0.013,0.991,-0.008
0.016,0.990,-0.024
0.012,0.990,-0.070
0.014,0.990,-0.075
0.026,0.987,-0.102
0.024,0.986,-0.140
0.024,0.985,-0.142
0.012,0.984,-0.142
0.019,0.982,-0.149
0.023,0.977,-0.188
0.019,0.981,-0.174
0.019,0.975,-0.188
0.017,0.968,-0.214
0.017,0.966,-0.229
0.026,0.962,-0.258
0.028,0.957,-0.275
0.023,0.952,-0.286
0.014,0.945,-0.310
0.018,0.941,-0.313
0.018,0.945,-0.313
0.027,0.933,-0.342
0.019,0.927,-0.341
0.024,0.923,-0.356
0.016,0.914,-0.372
0.032,0.899,-0.395
0.024,0.897,-0.452
0.021,0.898,-0.450
0.020,0.890,-0.456
0.024,0.874,-0.446
0.016,0.876,-0.470
0.020,0.867,-0.509
0.026,0.857,-0.520
0.025,0.848,-0.523
0.022,0.847,-0.528
0.008,0.836,-0.580
0.013,0.828,-0.531
0.012,0.834,-0.513
0.026,0.809,-0.547
0.024,0.802,-0.575
0.036,0.787,-0.656
0.006,0.793,-0.650
0.011,0.792,-0.620
0.013,0.785,-0.645
0.004,0.776,-0.641
0.020,0.754,-0.674
0.011,0.754,-0.638
0.019,0.740,-0.640
0.014,0.707,-0.700
0.001,0.703,-0.658
0.006,0.699,-0.720
0.008,0.691,-0.758
0.013,0.671,-0.807
0.007,0.656,-0.774
0.003,0.655,-0.749
0.008,0.647,-0.744
0.014,0.621,-0.770
0.013,0.618,-0.797
0.007,0.614,-0.790
0.011,0.603,-0.808
-0.001,0.594,-0.790
-0.001,0.577,-0.833
0.008,0.550,-0.839
0.008,0.550,-0.838
0.005,0.536,-0.859
0.004,0.526,-0.868
-0.009,0.510,-0.787
-0.000,0.494,-0.873
0.002,0.469,-0.961
-0.009,0.479,-0.904
-0.009,0.434,-0.891
-0.010,0.427,-0.908
-0.005,0.362,-0.934
-0.011,0.402,-0.940
-0.020,0.382,-0.903
-0.009,0.335,-0.931
-0.014,0.344,-0.947
-0.018,0.321,-0.974
-0.016,0.302,-0.956
-0.020,0.293,-0.964
-0.030,0.262,-0.990
-0.027,0.272,-0.970
-0.028,0.260,-0.974
-0.022,0.232,-0.979
-0.022,0.197,-0.988
-0.024,0.143,-0.992
-0.013,0.116,-0.988
-0.034,0.125,-1.001
-0.017,0.101,-1.008
-0.021,0.102,-1.012
-0.013,0.075,-1.006
0.000,0.079,-1.006
-0.001,0.078,-0.992
0.004,0.049,-0.994
0.005,0.040,-1.009
-0.002,0.048,-0.987
-0.007,0.030,-1.007
-0.010,0.018,-1.020
-0.019,0.012,-1.001
-0.012,0.017,-1.007
-0.012,0.043,-1.007
-0.015,0.008,-0.997
-0.022,0.026,-1.010
-0.022,0.029,-1.015
-0.026,0.025,-1.005
-0.027,0.023,-1.010
-0.025,0.015,-1.001
-0.030,0.022,-1.007
-0.031,0.020,-1.007
-0.032,0.022,-1.005
-0.028,0.020,-1.011
-0.033,0.022,-1.002
-0.025,0.021,-1.000
-0.034,0.022,-1.002
-0.042,0.035,-1.005
-0.043,0.029,-1.013
-0.041,0.083,-0.993
-0.035,0.102,-1.005
-0.023,0.128,-0.994
-0.024,0.116,-0.997
-0.022,0.115,-1.003
-0.034,0.127,-1.002
-0.019,0.104,-1.000
-0.014,0.132,-0.996
-0.014,0.124,-0.998
-0.019,0.130,-1.000
