x,y,z
-0.047,-0.008,1.000
-0.046,-0.007,1.000
-0.047,-0.008,1.000
-0.047,-0.008,1.000
-0.047,-0.008,1.000
-0.047,-0.008,1.000
-0.048,-0.007,1.000
-0.048,-0.008,1.000
-0.048,-0.008,1.000
-0.047,-0.007,1.000
-0.048,-0.008,1.000
-0.047,-0.008,1.001
-0.048,-0.008,1.000
-0.047,-0.008,1.001
-0.047,-0.007,1.000
-0.047,-0.009,1.000
-0.047,-0.008,1.001
-0.047,-0.008,1.000
-0.047,-0.008,1.001
-0.048,-0.007,1.000
-0.048,-0.008,1.000
-0.047,-0.008,1.000
-0.047,-0.008,1.000
-0.048,-0.008,1.000
-0.046,-0.008,0.999
-0.048,-0.009,1.000
-0.047,-0.008,1.000
-0.047,-0.008,1.000
-0.048,-0.008,1.000
-0.048,-0.008,1.000
-0.047,-0.007,1.001
-0.047,-0.008,1.000
-0.047,-0.009,1.000
-0.047,-0.008,1.000
-0.047,-0.009,1.000
-0.047,-0.008,1.000
-0.047,-0.009,1.000
-0.047,-0.007,1.001
-0.047,-0.008,1.000
-0.047,-0.007,1.000
-0.048,-0.008,1.000
-0.047,-0.008,1.000
-0.048,-0.008,1.000
-0.047,-0.009,1.000
-0.047,-0.009,1.000
-0.047,-0.008,1.000
-0.048,-0.009,1.000
-0.047,-0.006,1.000
-0.047,-0.009,0.999
-0.047,-0.008,1.000
-0.047,-0.007,1.000
-0.048,-0.009,1.000
-0.048,-0.007,1.000
-0.047,-0.008,1.000
-0.048,-0.006,1.001
-0.047,-0.008,1.000
-0.048,-0.008,1.000
-0.049,-0.007,1.000
-0.049,-0.007,1.000
-0.049,-0.008,1.000
-0.049,-0.006,0.999
-0.049,-0.008,1.000
-0.049,-0.006,1.000
-0.048,-0.008,1.000
-0.048,-0.007,1.000
-0.048,-0.008,1.000
-0.049,-0.007,1.000
-0.048,-0.007,1.000
-0.049,-0.007,1.000
-0.049,-0.008,1.000
-0.048,-0.007,1.000
-0.047,-0.008,1.000
-0.049,-0.007,1.000
-0.048,-0.008,1.000
-0.048,-0.008,1.000
-0.048,-0.007,1.000
-0.048,-0.008,1.000
-0.047,-0.007,1.000
-0.048,-0.007,1.000
-0.048,-0.009,1.000
-0.048,-0.007,1.000
-0.049,-0.007,1.000
-0.047,-0.007,1.000
-0.048,-0.008,1.000
-0.047,-0.008,1.000
-0.048,-0.007,1.000
-0.049,-0.007,1.000
-0.048,-0.008,1.000
-0.048,-0.007,1.000
-0.048,-0.008,1.000
-0.047,-0.007,1.000
