x,y,z
-7.361,25.000,20.508
-7.886,24.255,19.800
-7.751,24.036,19.775
-7.910,23.962,19.849
-7.910,23.962,19.849
-7.935,25.171,19.543
-7.678,24.841,19.788
-7.471,24.463,19.373
-7.593,24.597,19.458
-7.617,24.207,20.007
-7.617,24.207,20.007
-7.788,24.377,19.629
-7.263,24.646,20.361
-7.019,24.512,19.775
-6.799,24.084,19.702
-7.715,24.280,19.641
-7.715,24.280,19.641
-7.349,24.377,19.629
-7.825,24.292,18.811
-7.336,24.402,18.982
-7.556,23.706,20.374
-7.068,22.852,19.946
-7.275,22.229,19.934
-7.275,22.229,19.934
-7.324,20.935,20.129
-6.604,20.410,20.740
-6.641,18.762,19.348
-6.335,17.773,18.652
-5.774,16.711,20.630
-5.151,15.369,20.361
-4.309,13.940,20.032
-3.748,12.573,19.971
-2.661,10.950,19.739
-1.050,9.741,20.728
-1.050,9.741,20.728
-0.256,7.690,20.093
1.953,7.361,19.495
1.953,7.361,19.495
3.552,6.006,20.557
3.552,6.006,20.557
4.968,5.505,19.543
4.968,5.505,19.543
6.824,4.834,20.178
6.824,4.834,20.178
6.824,4.834,20.178
9.143,4.358,20.312
9.143,4.358,20.312
11.426,3.735,20.825
11.426,3.735,20.825
13.611,3.271,19.946
15.735,3.870,20.093
17.285,4.224,18.848
20.032,4.834,19.446
21.204,6.067,18.823
21.204,6.287,18.298
22.339,6.287,18.298
24.060,7.300,19.006
24.988,7.703,19.153
25.464,8.594,18.457
27.356,9.753,18.518
27.356,9.753,18.518
27.344,11.023,18.555
28.760,12.134,18.677
29.626,13.733,18.799
29.822,15.527,18.079
29.944,17.273,18.176
30.603,17.786,18.616
30.603,17.786,18.616
30.518,18.872,17.896
30.933,19.714,18.225
30.994,20.667,17.236
31.421,22.644,18.066
31.421,22.644,18.066
30.615,24.377,16.895
30.396,25.708,18.762
30.188,27.344,17.725
29.541,28.516,17.688
29.236,30.566,16.650
28.442,32.458,17.566
28.442,32.458,17.566
28.125,33.179,16.211
27.698,34.473,17.871
26.843,34.863,18.066
26.648,35.583,18.079
26.648,35.583,18.079
24.890,36.743,18.225
24.426,37.402,17.615
22.949,37.964,17.297
21.375,39.062,17.822
20.471,40.222,17.590
18.396,40.771,17.664
18.396,40.771,17.664
16.931,40.723,17.261
15.393,42.236,18.335
13.757,42.139,17.700
11.938,42.615,18.408
11.938,42.615,18.408
10.742,42.603,18.494
9.607,42.261,19.238
8.301,41.577,18.225
7.959,41.797,18.176
7.031,41.833,17.078
7.031,41.833,17.078
5.420,41.638,18.335
4.724,41.089,17.749
2.917,40.491,18.542
1.917,39.392,17.407
0.696,38.940,19.104
-2.429,38.281,18.750
-1.257,37.695,18.567
-2.917,36.462,19.153
-3.467,35.596,19.019
-4.407,35.535,19.678
-3.711,34.705,19.482
-3.711,34.705,19.482
-4.492,33.667,18.481
-5.347,33.154,19.141
-5.383,33.337,19.666
-5.505,32.227,18.787
-5.310,31.738,19.214
-5.310,31.738,19.214
-5.518,31.067,20.105
-5.798,30.347,18.640
-5.969,29.053,18.945
-7.007,29.114,19.348
-6.458,27.893,19.275
-6.458,27.893,19.275
-6.531,28.040,19.690
-7.007,27.454,18.298
-6.836,26.538,19.641
-7.190,25.793,19.788
-7.251,26.172,19.824
-7.251,26.172,19.824
-6.506,25.623,19.873
-6.384,24.438,19.080
-6.543,23.828,20.020
-6.604,23.950,19.153
-6.677,23.669,20.337
-6.848,24.463,18.958
-6.848,24.463,18.958
-7.166,24.084,19.934
-6.396,24.780,19.543
-7.019,24.280,20.825
-7.068,24.438,19.055
-7.092,24.207,20.215
-7.092,24.207,20.215
-7.361,23.816,20.068
-6.836,23.779,20.007
-6.995,24.109,21.216
-7.324,24.341,19.031
-7.324,24.341,19.031
-6.885,25.171,20.154
-7.190,25.256,18.347
-7.251,25.769,19.495
-7.092,26.123,19.885
-6.445,26.855,19.885
-6.445,26.855,19.885
-6.738,27.234,19.910
-6.702,27.490,19.836
-6.335,28.528,19.739
-6.287,29.431,18.994
-5.835,29.834,19.482
-5.835,29.834,19.482
-5.432,30.750,20.032
-5.200,32.080,19.666
-4.724,33.362,19.299
-3.589,34.167,19.922
-3.101,35.596,19.348
-3.101,35.596,19.348
-2.649,36.609,21.057
-1.184,37.817,18.689
-0.403,38.611,19.678
1.038,39.246,18.677
4.187,40.625,18.213
5.713,41.223,19.092
5.713,41.223,19.092
7.092,42.444,19.543
9.119,42.078,19.043
11.060,42.737,18.188
13.220,42.224,18.604
14.697,42.297,18.091
14.697,42.297,18.091
17.358,42.041,18.689
19.385,40.674,17.737
20.508,40.222,18.311
21.204,40.381,18.616
20.874,39.587,17.212
20.874,39.587,17.212
21.509,39.661,18.665
21.936,38.794,19.812
22.241,38.672,19.678
22.827,37.830,18.530
23.608,37.134,18.079
23.608,37.134,18.079
25.464,36.768,17.859
25.952,35.510,17.896
27.393,34.753,18.237
28.540,33.386,17.126
29.712,32.043,19.348
31.079,29.150,17.786
31.079,29.150,17.786
31.335,27.344,17.566
31.885,25.342,18.420
31.885,23.486,18.884
31.995,22.693,19.031
32.446,21.826,17.712
32.446,21.826,17.712
31.970,19.800,18.030
32.556,19.177,18.140
32.166,18.970,17.957
32.214,18.579,18.005
32.092,18.713,18.555
32.581,18.750,19.189
32.581,18.750,19.189
31.982,17.944,18.225
31.531,16.650,18.457
31.702,16.138,17.847
30.981,15.100,18.689
30.981,15.100,18.689
30.225,14.758,18.079
29.443,13.232,17.798
29.248,11.694,18.042
27.576,10.339,20.093
26.672,9.436,19.775
25.842,8.997,19.702
25.842,8.997,19.702
24.573,7.593,19.275
23.450,6.201,20.544
21.545,5.408,19.800
19.604,4.956,20.166
19.604,4.956,19.824
18.262,3.821,19.824
16.394,3.979,19.800
14.575,3.601,19.946
12.744,4.138,19.934
10.657,3.772,19.995
8.936,5.176,20.398
8.936,5.176,20.398
8.936,5.176,20.398
6.604,4.895,19.812
6.604,4.895,19.812
6.116,5.017,19.971
6.116,5.017,19.971
4.407,5.798,19.238
4.407,5.798,19.238
4.407,5.798,19.238
2.795,6.714,19.800
2.795,6.714,19.800
1.868,6.848,19.202
1.868,6.848,19.202
1.868,8.752,19.043
0.708,8.752,19.043
0.708,8.752,19.043
-1.233,8.948,19.946
-2.014,9.729,19.299
-3.186,11.206,20.154
-3.186,11.206,20.154
-3.955,12.659,20.349
-4.993,13.794,20.178
-5.103,14.783,20.410
-6.494,16.125,19.568
-6.494,16.125,19.568
-6.519,18.188,20.020
-6.970,19.592,20.618
-6.982,20.508,20.215
-6.909,20.667,19.958
