mx,my,mz
33.704,2.124,54.761
34.094,1.843,54.663
33.923,1.843,54.004
33.154,1.733,54.407
33.154,1.733,54.407
33.508,2.454,54.333
33.899,1.587,53.882
33.911,1.868,54.260
33.447,1.562,55.151
33.154,1.440,54.712
34.155,2.319,54.980
33.887,2.063,53.845
33.362,1.843,55.188
33.362,1.843,55.188
33.752,2.539,53.943
34.094,2.026,53.857
33.643,1.978,53.210
33.789,2.039,54.895
33.789,1.941,54.443
33.337,1.941,54.443
33.960,1.831,54.797
33.862,1.721,54.590
33.948,1.233,56.714
33.081,1.843,55.127
34.351,1.709,55.896
34.351,1.709,55.896
34.814,2.112,53.613
36.902,1.550,52.490
37.891,2.100,52.148
39.917,1.392,53.210
41.345,1.111,50.122
41.345,1.111,50.122
43.945,1.526,49.744
45.911,1.062,47.717
48.572,0.903,46.045
49.963,0.879,43.652
52.100,1.367,42.493
52.100,1.367,42.493
53.455,0.476,38.525
55.688,0.635,36.694
56.628,0.220,31.177
58.289,0.977,29.871
58.936,0.830,26.599
58.936,0.830,26.599
59.106,0.989,24.438
58.838,0.610,19.495
59.167,1.270,15.491
58.093,2.026,10.889
57.715,2.551,7.898
57.715,2.551,7.898
56.323,2.686,3.528
56.323,2.686,3.528
56.323,2.686,3.528
55.164,2.686,2.087
55.164,2.686,2.087
53.210,3.052,-2.747
53.210,3.052,-2.747
52.319,3.418,-5.750
50.854,3.711,-8.203
48.962,4.175,-9.961
48.132,4.333,-10.962
47.498,4.822,-11.804
47.498,4.822,-11.804
47.363,4.639,-11.853
46.985,4.456,-12.036
46.838,4.517,-11.755
44.763,5.383,-15.015
43.201,5.005,-15.857
43.201,5.005,-15.857
40.869,5.212,-18.726
34.729,7.043,-22.705
31.946,6.763,-25.598
28.076,7.275,-26.501
25.598,7.983,-28.308
25.598,7.983,-28.308
22.046,8.472,-30.042
18.445,8.948,-31.873
14.343,9.534,-32.605
10.706,10.449,-34.546
10.706,10.449,-34.546
5.933,10.962,-34.216
0.708,12.085,-35.693
-5.127,12.390,-34.656
-11.841,13.342,-34.973
-18.188,13.916,-33.289
-24.390,14.661,-30.945
-24.390,14.661,-30.945
-34.290,15.027,-25.891
-34.290,15.027,-25.891
-37.073,15.601,-21.045
-40.759,16.602,-18.945
-41.809,15.808,-15.735
-43.787,16.284,-14.270
-43.787,16.284,-11.145
-44.055,16.736,-11.023
-45.740,16.467,-9.583
